# angle[deg]   Cl   Cd   Cm
 -180.00000              0         0.0407              0
 -175.00000          0.223         0.0507         0.0937
 -170.00000          0.405         0.1055         0.1702
 -160.00000          0.658         0.2982         0.2819
 -155.00000          0.733         0.4121         0.3213
 -150.00000          0.778         0.5308          0.352
 -145.00000          0.795         0.6503         0.3754
 -140.00000          0.787         0.7672         0.3926
 -135.00000          0.757         0.8785         0.4046
 -130.00000          0.708         0.9819         0.4121
 -125.00000          0.641         1.0756          0.416
 -120.00000           0.56          1.158         0.4167
 -115.00000          0.467          1.228         0.4146
 -110.00000          0.365         1.2847         0.4104
 -105.00000          0.255         1.3274         0.4041
 -100.00000          0.139         1.3557         0.3961
  -95.00000          0.021         1.3692         0.3867
  -90.00000         -0.098          1.368         0.3759
  -85.00000         -0.216         1.3521         0.3639
  -80.00000         -0.331         1.3218         0.3508
  -75.00000         -0.441         1.2773         0.3367
  -70.00000         -0.544         1.2193         0.3216
  -65.00000         -0.638         1.1486         0.3054
  -60.00000          -0.72          1.066         0.2884
  -55.00000         -0.788         0.9728         0.2703
  -50.00000          -0.84         0.8705         0.2512
  -45.00000         -0.875         0.7611         0.2311
  -40.00000         -0.889         0.6466         0.2099
  -35.00000          -0.88         0.5299         0.1876
  -30.00000         -0.846         0.4141         0.1641
  -25.00000         -0.784          0.303         0.1396
  -24.00000         -0.768         0.2817         0.1345
  -23.00000         -0.751         0.2608         0.1294
  -22.00000         -0.733         0.2404         0.1243
  -21.00000         -0.714         0.2205         0.1191
  -20.00000         -0.693         0.2011         0.1139
  -19.00000         -0.671         0.1822         0.1086
  -18.00000         -0.648          0.164         0.1032
  -17.00000         -0.624         0.1465         0.0975
  -16.00000         -0.601           0.13         0.0898
  -15.00000         -0.579         0.1145         0.0799
  -14.00000         -0.559            0.1         0.0682
  -13.00000         -0.539         0.0867         0.0547
  -12.00000         -0.519         0.0744         0.0397
  -11.00000         -0.499         0.0633         0.0234
  -10.00000          -0.48         0.0534          0.006
   -5.54000         -0.385         0.0245          -0.08
   -5.04000         -0.359         0.0225          -0.08
   -4.54000          -0.36         0.0196          -0.08
   -4.04000         -0.355         0.0174          -0.08
   -3.54000         -0.307         0.0162          -0.08
   -3.04000         -0.246         0.0144          -0.08
   -3.00000          -0.24          0.024        -0.0623
   -2.50000         -0.163         0.0188        -0.0674
   -2.00000         -0.091          0.016        -0.0712
   -1.50000         -0.019         0.0137        -0.0746
   -1.00000          0.052         0.0118        -0.0778
   -0.50000          0.121         0.0104        -0.0806
    0.00000          0.196         0.0094        -0.0831
    0.50000          0.265         0.0096        -0.0863
    1.00000          0.335         0.0098        -0.0895
    1.50000          0.404         0.0099        -0.0924
    2.00000          0.472           0.01        -0.0949
    2.50000           0.54         0.0102        -0.0973
    3.00000          0.608         0.0103        -0.0996
    3.50000          0.674         0.0104        -0.1016
    4.00000          0.742         0.0105        -0.1037
    4.50000          0.809         0.0107        -0.1057
    5.00000          0.875         0.0108        -0.1076
    5.50000          0.941         0.0109        -0.1094
    6.00000          1.007          0.011        -0.1109
    6.50000          1.071         0.0113        -0.1118
    7.00000          1.134         0.0115        -0.1127
    7.50000          1.198         0.0117        -0.1138
    8.00000           1.26          0.012        -0.1144
    8.50000          1.318         0.0126        -0.1137
    9.00000          1.368         0.0133        -0.1112
    9.50000          1.422         0.0143          -0.11
   10.00000          1.475         0.0156        -0.1086
   10.50000          1.523         0.0174        -0.1064
   11.00000           1.57         0.0194        -0.1044
   11.50000          1.609         0.0227        -0.1013
   12.00000          1.642         0.0269         -0.098
   12.50000          1.675         0.0319        -0.0953
   13.00000            1.7         0.0398        -0.0925
   13.50000          1.717         0.0488        -0.0896
   14.00000          1.712         0.0614        -0.0864
   14.50000          1.703         0.0786         -0.084
   15.50000          1.671         0.1173         -0.083
   16.00000          1.649         0.1377        -0.0848
   16.50000          1.621           0.16         -0.088
   17.00000          1.598         0.1814        -0.0926
   17.50000          1.571         0.2042        -0.0984
   18.00000          1.549         0.2316        -0.1052
   19.00000          1.544         0.2719        -0.1158
   19.50000          1.549         0.2906        -0.1213
   20.00000          1.565         0.3085        -0.1248
   21.00000          1.565         0.3447        -0.1317
   22.00000          1.563          0.382        -0.1385
   23.00000          1.558         0.4203        -0.1452
   24.00000          1.552         0.4593        -0.1518
   25.00000          1.546         0.4988        -0.1583
   26.00000          1.539         0.5387        -0.1647
   28.00000          1.527         0.6187         -0.177
   30.00000          1.522         0.6978        -0.1886
   32.00000          1.529         0.7747        -0.1994
   35.00000          1.544         0.8869        -0.2148
   40.00000          1.529         1.0671        -0.2392
   45.00000          1.471         1.2319        -0.2622
   50.00000          1.376         1.3747        -0.2839
   55.00000          1.249         1.4899        -0.3043
   60.00000          1.097         1.5728        -0.3236
   65.00000          0.928         1.6202        -0.3417
   70.00000           0.75         1.6302        -0.3586
   75.00000           0.57         1.6031        -0.3745
   80.00000          0.396         1.5423        -0.3892
   85.00000          0.237         1.4598        -0.4028
   90.00000          0.101         1.4041        -0.4151
   95.00000         -0.022         1.4053        -0.4261
  100.00000         -0.143         1.3914        -0.4357
  105.00000         -0.261         1.3625        -0.4437
  110.00000         -0.374         1.3188        -0.4498
  115.00000          -0.48         1.2608        -0.4538
  120.00000         -0.575         1.1891        -0.4553
  125.00000         -0.659         1.1046         -0.454
  130.00000         -0.727         1.0086        -0.4492
  135.00000         -0.778         0.9025        -0.4405
  140.00000         -0.809         0.7883         -0.427
  145.00000         -0.818         0.6684        -0.4078
  150.00000           -0.8         0.5457        -0.3821
  155.00000         -0.754         0.4236        -0.3484
  160.00000         -0.677         0.3066        -0.3054
  170.00000         -0.417         0.1085        -0.1842
  175.00000         -0.229          0.051        -0.1013
  180.00000              0         0.0407              0
