# angle[deg]   Cl   Cd   Cm
 -180.00000              0         0.0185              0
 -175.00000          0.394         0.0332         0.1978
 -170.00000          0.788         0.0945         0.3963
 -160.00000           0.67         0.2809         0.2738
 -155.00000          0.749         0.3932         0.3118
 -150.00000          0.797         0.5112         0.3413
 -145.00000          0.818         0.6309         0.3636
 -140.00000          0.813         0.7485         0.3799
 -135.00000          0.786         0.8612         0.3911
 -130.00000          0.739         0.9665          0.398
 -125.00000          0.675         1.0625         0.4012
 -120.00000          0.596         1.1476         0.4014
 -115.00000          0.505         1.2206          0.399
 -110.00000          0.403         1.2805         0.3943
 -105.00000          0.294         1.3265         0.3878
 -100.00000          0.179         1.3582         0.3796
  -95.00000           0.06         1.3752           0.37
  -90.00000          -0.06         1.3774         0.3591
  -85.00000         -0.179         1.3648         0.3471
  -80.00000         -0.295         1.3376          0.334
  -75.00000         -0.407         1.2962         0.3199
  -70.00000         -0.512         1.2409         0.3049
  -65.00000         -0.608         1.1725          0.289
  -60.00000         -0.693         1.0919         0.2722
  -55.00000         -0.764         1.0002         0.2545
  -50.00000          -0.82          0.899         0.2359
  -45.00000         -0.857           0.79         0.2163
  -40.00000         -0.875         0.6754         0.1958
  -35.00000         -0.869         0.5579         0.1744
  -30.00000         -0.838         0.4405          0.152
  -25.00000         -0.791         0.3256         0.1262
  -24.00000         -0.794         0.3013          0.117
  -23.00000         -0.805         0.2762         0.1059
  -22.00000         -0.821         0.2506         0.0931
  -21.00000         -0.843         0.2246         0.0788
  -20.00000         -0.869         0.1983         0.0631
  -19.00000         -0.899          0.172         0.0464
  -18.00000         -0.931         0.1457         0.0286
  -17.00000         -0.964         0.1197         0.0102
  -16.00000         -0.999          0.094        -0.0088
  -15.00000         -1.033         0.0689        -0.0281
  -14.50000          -1.05         0.0567        -0.0378
  -12.01000         -0.953         0.0271        -0.0349
  -11.00000           -0.9         0.0303        -0.0361
   -9.98000         -0.827         0.0287        -0.0464
   -8.12000         -0.536         0.0124        -0.0821
   -7.62000         -0.467         0.0109        -0.0924
   -7.11000         -0.393         0.0092        -0.1015
   -6.60000         -0.323         0.0083        -0.1073
   -6.50000         -0.311         0.0089        -0.1083
   -6.00000         -0.245         0.0082        -0.1112
   -5.50000         -0.178         0.0074        -0.1146
   -5.00000         -0.113         0.0069        -0.1172
   -4.50000         -0.048         0.0065        -0.1194
   -4.00000          0.016         0.0063        -0.1213
   -3.50000           0.08         0.0061        -0.1232
   -3.00000          0.145         0.0058        -0.1252
   -2.50000          0.208         0.0057        -0.1268
   -2.00000           0.27         0.0057        -0.1282
   -1.50000          0.333         0.0057        -0.1297
   -1.00000          0.396         0.0057         -0.131
   -0.50000          0.458         0.0057        -0.1324
    0.00000          0.521         0.0057        -0.1337
    0.50000          0.583         0.0057         -0.135
    1.00000          0.645         0.0058        -0.1363
    1.50000          0.706         0.0058        -0.1374
    2.00000          0.768         0.0059        -0.1385
    2.50000          0.828         0.0061        -0.1395
    3.00000          0.888         0.0063        -0.1403
    3.50000          0.948         0.0066        -0.1406
    4.00000          0.996         0.0071        -0.1398
    4.50000          1.046         0.0079         -0.139
    5.00000          1.095          0.009        -0.1378
    5.50000          1.145         0.0103        -0.1369
    6.00000          1.192         0.0113        -0.1353
    6.50000          1.239         0.0122        -0.1338
    7.00000          1.283         0.0131        -0.1317
    7.50000          1.324         0.0139        -0.1291
    8.00000          1.358         0.0147        -0.1249
    8.50000          1.385         0.0158        -0.1213
    9.00000          1.403         0.0181        -0.1177
    9.50000          1.401         0.0211        -0.1142
   10.00000          1.358         0.0255        -0.1103
   10.50000          1.313         0.0301        -0.1066
   11.00000          1.287         0.0347        -0.1032
   11.50000          1.274         0.0401        -0.1002
   12.00000          1.272         0.0468        -0.0971
   12.50000          1.273         0.0545         -0.094
   13.00000          1.273         0.0633        -0.0909
   13.50000          1.273         0.0722        -0.0883
   14.00000          1.272         0.0806        -0.0865
   14.50000          1.273           0.09        -0.0854
   15.00000          1.275         0.0987        -0.0849
