# angle[deg]   Cl   Cd   Cm
 -180.00000              0         0.0267              0
 -175.00000          0.274          0.037         0.1379
 -170.00000          0.547         0.0968         0.2778
 -160.00000          0.685         0.2876          0.274
 -155.00000          0.766         0.4025         0.3118
 -150.00000          0.816         0.5232         0.3411
 -145.00000          0.836         0.6454         0.3631
 -140.00000          0.832         0.7656         0.3791
 -135.00000          0.804         0.8807         0.3899
 -130.00000          0.756         0.9882         0.3965
 -125.00000           0.69         1.0861         0.3994
 -120.00000          0.609          1.173         0.3992
 -115.00000          0.515         1.2474         0.3964
 -110.00000          0.411         1.3084         0.3915
 -105.00000            0.3         1.3552         0.3846
 -100.00000          0.182         1.3875         0.3761
  -95.00000          0.061         1.4048         0.3663
  -90.00000         -0.061          1.407         0.3551
  -85.00000         -0.183         1.3941         0.3428
  -80.00000         -0.302         1.3664         0.3295
  -75.00000         -0.416          1.324         0.3153
  -70.00000         -0.523         1.2676         0.3001
  -65.00000         -0.622         1.1978         0.2841
  -60.00000         -0.708         1.1156         0.2672
  -55.00000         -0.781          1.022         0.2494
  -50.00000         -0.838         0.9187         0.2308
  -45.00000         -0.877         0.8074         0.2113
  -40.00000         -0.895         0.6904         0.1909
  -35.00000         -0.889         0.5703         0.1696
  -30.00000         -0.858         0.4503         0.1475
  -25.00000         -0.832         0.3357         0.1224
  -24.00000         -0.852         0.3147         0.1156
  -23.00000         -0.882         0.2946         0.1081
  -22.00000         -0.919         0.2752            0.1
  -21.00000         -0.963         0.2566         0.0914
  -20.00000         -1.013         0.2388         0.0823
  -19.00000         -1.067         0.2218         0.0728
  -18.00000         -1.125         0.2056         0.0631
  -17.00000         -1.185         0.1901         0.0531
  -16.00000         -1.245         0.1754          0.043
  -15.25000          -1.29         0.1649         0.0353
  -14.24000         -1.229         0.1461          0.024
  -13.24000         -1.148         0.1263           0.01
  -12.22000         -1.052         0.1051         -0.009
  -11.22000         -0.965         0.0886         -0.023
  -10.19000         -0.867          0.074        -0.0336
   -9.70000         -0.822         0.0684        -0.0375
   -9.18000         -0.769         0.0605         -0.044
   -8.18000         -0.756          0.027        -0.0578
   -7.19000          -0.69          0.018         -0.059
   -6.65000         -0.616         0.0166        -0.0633
   -6.13000         -0.542         0.0152        -0.0674
   -6.00000         -0.525         0.0117        -0.0732
   -5.50000         -0.451         0.0105        -0.0766
   -5.00000         -0.382         0.0097        -0.0797
   -4.50000         -0.314         0.0092        -0.0825
   -4.00000         -0.251         0.0091        -0.0853
   -3.50000         -0.189         0.0089        -0.0884
   -3.00000          -0.12         0.0089        -0.0914
   -2.50000         -0.051         0.0088        -0.0942
   -2.00000          0.017         0.0088        -0.0969
   -1.50000          0.085         0.0088        -0.0994
   -1.00000          0.152         0.0088        -0.1018
   -0.50000          0.219         0.0088        -0.1041
    0.00000          0.288         0.0087        -0.1062
    0.50000          0.354         0.0087        -0.1086
    1.00000          0.421         0.0088        -0.1107
    1.50000          0.487         0.0089        -0.1129
    2.00000          0.554          0.009        -0.1149
    2.50000          0.619         0.0091        -0.1168
    3.00000          0.685         0.0092        -0.1185
    3.50000          0.749         0.0093        -0.1201
    4.00000          0.815         0.0095        -0.1218
    4.50000          0.879         0.0096        -0.1233
    5.00000          0.944         0.0097        -0.1248
    5.50000          1.008         0.0099         -0.126
    6.00000          1.072         0.0101         -0.127
    6.50000          1.135         0.0103         -0.128
    7.00000          1.197         0.0107        -0.1287
    7.50000          1.256         0.0112        -0.1289
    8.00000          1.305         0.0125         -0.127
    9.00000           1.39         0.0155        -0.1207
    9.50000          1.424         0.0171        -0.1158
   10.00000          1.458         0.0192        -0.1116
   10.50000          1.488         0.0219        -0.1073
   11.00000          1.512         0.0255        -0.1029
   11.50000          1.533         0.0307        -0.0983
   12.00000          1.549          0.037        -0.0949
   12.50000          1.558         0.0452        -0.0921
   13.00000           1.47          0.063        -0.0899
   13.50000          1.398         0.0784        -0.0885
   14.00000          1.354         0.0931        -0.0885
   14.50000          1.336         0.1081        -0.0902
   15.00000          1.333         0.1239        -0.0928
   15.50000          1.326         0.1415        -0.0963
   16.00000          1.329         0.1592        -0.1006
   16.50000          1.326         0.1743        -0.1042
   17.00000          1.321         0.1903        -0.1084
   17.50000          1.331         0.2044        -0.1125
   18.00000          1.333         0.2186        -0.1169
   18.50000           1.34         0.2324        -0.1215
   19.00000          1.362         0.2455        -0.1263
   19.50000          1.382         0.2584        -0.1313
   20.00000          1.398         0.2689        -0.1352
   20.50000          1.426         0.2814        -0.1406
   21.00000          1.437         0.2943        -0.1462
   22.00000          1.418         0.3246        -0.1516
   23.00000          1.397         0.3557         -0.157
   24.00000          1.376         0.3875        -0.1623
   25.00000          1.354         0.4198        -0.1676
   26.00000          1.332         0.4524        -0.1728
   28.00000          1.293         0.5183        -0.1832
   30.00000          1.265         0.5843        -0.1935
   32.00000          1.253         0.6492        -0.2039
   35.00000          1.264         0.7438        -0.2193
   40.00000          1.258          0.897         -0.244
   45.00000          1.217         1.0402        -0.2672
   50.00000          1.146         1.1686        -0.2891
   55.00000          1.049         1.2779        -0.3097
   60.00000          0.932         1.3647         -0.329
   65.00000          0.799         1.4267        -0.3471
   70.00000          0.657         1.4621        -0.3641
   75.00000          0.509         1.4708        -0.3799
